species_key,occurrence_count
2160133,219569
2188249,189359
2150764,146258
5170994,134753
2153287,104951
2165951,86857
2172595,68878
2168338,67699
5173257,64089
5171022,62938
4553496,60519
2149937,57213
5776654,55217
2158999,48585
2135959,39248
2146260,38280
2184301,37519
10886629,36788
2145815,36387
4549071,35222
5170070,35016
2159061,34899
2157245,33846
4553430,32266
5171516,32103
2171189,29986
5170973,29396
2146241,28924
2158546,28738
2154595,28681
4549759,28324
2159204,27597
2151568,26823
5170999,26796
2182588,26461
2137734,26022
2158882,26006
2158077,25273
2159735,24170
2147438,23581
2149490,23483
2150992,23315
4553358,23223
2146140,23211
2137716,23196
2146174,22844
2150903,22715
2157242,22548
2157203,22289
8327349,22183
2169064,21427
2134068,20956
2134314,20947
2159970,20561
2166135,20046
2145852,20029
4553363,19720
2165052,19590
2183465,19338
4549649,19217
2160943,19028
2136031,18981
5170066,18874
5168969,18596
2139331,18446
2182727,17829
7785418,17554
10670284,17453
2146072,17031
2136609,16697
2178540,16296
2151859,16127
2169069,16079
2157942,15776
2158881,15769
2172846,15745
2136050,15598
2139576,15314
2157944,15249
2159209,14922
2159658,14829
5174242,14786
2159593,14357
2147079,14328
2135962,13980
4553472,13891
2165401,13773
4553336,13743
5169527,13645
2136022,13478
2134854,13400
2151597,13397
2157402,13329
7783291,13296
2161221,13139
2146739,13077
2146584,12882
8202521,12873
2159474,12805
2144994,12743
2194313,12704
2137387,12694
2155895,12579
2133637,12458
2149679,12402
2161872,12226
2148794,12098
2176858,12013
2135973,11908
2166830,11832
2157233,11785
2162903,11734
2147434,11710
2150955,11700
4553538,11624
2165357,11543
6913497,11511
2158202,11422
4542088,11375
2172729,11282
2151598,11256
5169122,11220
2177101,11189
9741766,11135
2135969,11118
2161710,11022
4549763,10900
2138546,10851
2141379,10765
4553482,10717
2158870,10704
2150962,10548
2165228,10395
2171214,10390
2151599,10371
7455866,10128
2132839,10111
5172110,9990
2160521,9924
2139587,9816
4541997,9695
2183597,9531
2146194,9439
5170966,9363
2174528,9321
8254648,9290
2151783,9283
2171923,9255
2179068,9189
2146075,9178
2168060,9164
2194757,9143
2135191,9121
