species_key,occurrence_count
9510564,29331983
9761484,29186688
2482507,29049791
9809229,27911614
2495347,27283368
2490384,27136933
5231190,25461703
2482593,24059811
5232437,23114921
2492196,22420737
9409198,21062140
5231640,20272007
8323485,19175080
9149595,19040248
2487805,18753358
2481930,17600961
9515886,17227475
2478106,15422349
2495414,15357956
2478259,14999501
9362842,14811733
2484892,14309492
9630752,14136986
9705453,13469474
2487887,13277043
2490719,12938950
2493801,12898800
9752617,12716753
2480542,12416226
7341805,12342239
2484155,12339753
2482492,12174315
5231677,11805076
2481134,11202388
2487879,10799879
2492462,10553647
2481875,10517890
2494422,9946400
2480320,9869095
5231140,9621206
2495696,9511455
2494936,9399600
2495455,9059013
2492109,8977906
2487844,8629679
2489670,8518891
2484391,8413783
2489181,8325770
2490941,8060117
5229490,7884570
2480726,7791799
2480446,7763498
9797180,7587311
9192501,7526207
2484597,7502142
8214667,7431679
2480537,7357525
2483606,7242543
2484609,7236204
7341834,7054321
2475472,7035775
4848480,6887991
2481174,6858887
2493091,6853378
9362027,6771534
9687165,6682694
5231132,6678751
6065824,6621472
5231459,6600501
2498343,6535676
2481890,6531714
5845582,6454536
2481942,6444531
8332393,6401723
2481139,6302019
2492956,6256547
2494686,6232280
2474393,6030424
5228199,5954435
9685907,5929131
2487430,5909509
2498326,5825144
2484879,5792036
5231438,5703999
2474377,5676737
9616058,5609384
9537647,5577693
9409796,5534884
2487596,5507310
2491205,5389981
5228824,5363658
2498329,5177852
2477968,5142662
2482077,5134942
2480487,5056448
2480529,5046056
2498387,5007960
2493052,4978894
2481172,4978774
9709230,4807336
2476674,4779301
2480873,4735856
2498036,4664586
6100954,4598136
5228514,4589687
7901064,4420225
2480242,4303379
2484340,4288232
5231647,4242964
5231198,4184219
5229493,4168726
5231142,4151064
2482515,4140226
5229688,4127734
2489985,4100665
2490327,3980269
4409023,3890678
2498375,3870056
2484596,3863368
5229734,3818269
5231763,3817788
2498261,3807581
7788295,3778705
9476062,3774010
2483612,3759840
2480876,3757250
2484591,3748920
2483597,3719950
2481798,3694720
5231635,3626053
2498155,3618722
9479809,3612977
2498112,3603340
2480830,3602986
2484916,3582582
2487446,3558225
8077224,3555300
2482054,3542771
2491557,3505911
2489613,3465335
2482481,3454430
2498264,3444804
2489005,3441391
2490810,3433112
9539567,3362552
2493843,3359046
2481759,3355305
2492235,3331561
2481720,3327876
9752149,3316667
2491534,3315858
2498408,3312348
2495370,3294793
2490266,3276642
7982160,3259112
2480482,3256294
5231630,3244559
2489202,3235692
6065844,3206838
2481962,3199700
2495000,3166834
2480863,3106129
6092830,3068009
9422220,3048306
6093345,3018450
2498305,3007054
2492096,2994884
2482048,2994571
5228676,2988307
8169649,2981036
9581157,2966911
9367409,2966848
7341816,2956069
8104397,2940937
7804446,2918040
2490737,2912418
2482414,2911137
2493118,2907993
5229158,2893273
2480637,2858678
7341822,2857087
2494543,2824919
2481745,2818127
8000602,2816922
9606290,2814384
2481047,2804649
2490494,2794506
2489590,2782700
9581438,2771023
2481714,2768020
2482598,2749875
2481800,2734624
2482755,2726348
5229167,2719986
