species_key,occurrence_count
5218465,3207696
5220126,2235892
5219243,1712912
5219858,1153520
7705930,1099611
2434814,1096843
7952072,1019297
8211070,881695
5219616,854707
2436940,715532
2440958,592078
5219681,566755
2440149,500242
9726292,494428
5220086,477614
2433875,453113
5707150,426976
2441022,423247
2434784,387110
7872906,378729
2434806,363378
2439261,344592
2434793,319300
5220170,318838
5218522,315545
5218524,311865
2440669,306741
4409131,306200
2433753,297616
2440965,290896
2440718,288346
2440012,287604
2440254,278178
2432439,273838
2440728,261565
2437967,250278
2433472,238576
5219981,210621
5220136,199580
7429082,195061
2432359,194297
5706764,187931
5219173,181598
2435035,174931
2440447,173910
2437760,170286
5218786,161501
4264680,160340
5218887,159829
2441110,155685
2434762,153062
5218471,149899
2441055,147373
2440940,138129
2439233,134200
2440062,133602
8324617,132832
2440946,126369
5219460,125525
2432582,124167
2440974,123790
7261816,123651
2440301,122418
8123917,120670
5218878,120208
2436886,119412
8316400,117557
2433484,117426
5218507,116553
5219019,114918
5220154,114158
2439270,113520
4265185,111726
5219683,110696
2432389,110450
2437377,108177
2433378,103677
5219840,101500
5218911,100245
9754263,99756
5218655,98429
2441054,97288
2432655,96813
5219965,96506
9589697,94978
2436756,94234
2437258,93504
2439658,92833
5219153,90410
2435240,88704
2439838,88385
2435246,87024
2438019,87003
2441056,85993
2440886,85094
2432416,82122
2437282,82107
5218987,80798
5219963,80029
10991082,79083
2437438,78773
5218823,77817
2432614,69960
2432470,68524
2437756,67992
2438616,67597
5219219,64913
5219970,64817
2435654,64777
7571319,64310
2440152,64309
5220114,62729
7964291,62147
5220190,62144
2437576,60747
2438606,59340
2438655,55357
2434340,54914
2440931,53451
7261386,52994
2440403,52495
7261861,51912
2439923,51839
2434552,50554
5220171,50554
2435304,48484
5219362,48151
2433407,48117
2433433,48068
5219457,47371
5219073,44816
8080937,43388
4266261,42868
2440068,42657
5739437,42033
2432284,41621
2435964,41089
2440043,40719
2432427,40689
2433474,40541
2438147,40232
5220027,39869
5706762,39762
5220055,39658
2436910,38897
2435296,38323
5219989,38299
2438635,38279
2439521,38261
5218464,38253
2433458,37647
2437368,37593
5219975,36784
2436736,36486
5706760,35948
2433467,35862
2435451,35821
5219833,35549
2440995,35417
2439385,34143
2435369,33532
5219380,33528
2435370,33386
2440483,32560
2433176,32407
2436436,32099
2440704,32066
5220149,31071
5220045,30689
2434982,30571
2434566,30564
2433011,30275
5219980,30230
2435862,29469
9729967,29463
4263039,29363
2440735,29124
2440050,28819
2439920,28572
2433009,28307
2437761,27541
2432509,27254
2440596,27165
2438038,26257
2437874,26196
2433272,25976
2439541,25879
2435767,25791
2439683,25774
9796816,25772
5219369,25658
2441176,24960
2438793,24554
2433475,24495
5218819,24240
2440332,23707
7593288,23702
2433376,23517
2440779,23470
2437981,23415
5706486,23302
2438911,23262
2432519,23017
2433727,22934
2440023,22864
2440255,22696
5786666,22330
2433270,22287
2436794,22176
6066824,22106
2432295,22048
2440019,22018
2433670,21950
2436019,21622
2432430,21572
5219303,21536
2437985,21397
2432352,21392
2441119,21176
2435366,20943
2437450,20941
7572569,20779
2435350,20766
2434791,20752
2436801,20611
2432564,20459
2440892,20174
2435099,20132
10774765,19956
2433531,19942
2435311,19900
2436179,19781
2437432,19537
2440709,19489
5218525,19421
5218686,19225
2432621,19105
2435361,18910
2438621,18407
2434584,18261
2440026,17995
5220060,17700
2437973,17665
2436090,17645
2441212,17421
2437581,17328
2438492,17293
2440993,17277
2438619,17259
5219884,17182
2440902,17146
2441144,17118
2439240,17105
2441049,17004
2434255,16497
2436042,16444
2434816,16433
4266263,16323
2441034,15872
2436615,15680
2440605,15457
2433298,15299
4835091,15096
11371810,15000
2434813,14956
5218864,14837
5218725,14811
2432517,14731
2436603,14687
5707216,14663
7422937,14657
2437369,14590
7261875,14463
2440251,14459
2440954,14321
5220050,13969
2440911,13965
5219672,13925
5219598,13889
2436982,13828
2438517,13782
5220182,13675
5219404,13647
2437281,13588
2432414,13577
2436790,13296
2440898,13248
2439383,13157
4266267,12948
5219796,12935
5220123,12905
2435358,12845
2440161,12797
5220127,12780
2440330,12509
2433194,12446
2438454,12374
2437232,12300
2437988,12202
2441105,12180
2438706,12057
2438603,11808
2432508,11698
5219666,11687
2438475,11684
2436649,11516
2441247,11504
2435936,11357
7262034,11317
2438609,11296
2437430,11222
5220183,11205
2437375,11179
2433177,11151
5220160,11048
2438438,10902
2439508,10902
5220073,10809
2440714,10798
2433401,10797
5220081,10736
5219663,10713
2439591,10705
2440369,10675
2432406,10660
2433868,10660
2437570,10646
2438660,10625
2440049,10601
2432386,10600
2434271,10403
2437394,10330
2438225,10316
2434333,10293
7440669,10288
7769716,10274
7262029,10161
2437864,10135
2437993,10088
8836075,10047
5706769,9958
9055455,9924
2441108,9904
2438671,9738
2440122,9711
2440891,9603
2440440,9476
2440339,9451
2435393,9329
2439467,9195
5218774,9176
2438970,9125
7994322,9072
2436353,9071
5219785,9052
2433462,9036
5219461,9020
2436346,8996
8959277,8972
2438651,8950
2439507,8929
2439563,8898
5220161,8828
5219618,8792
5220003,8779
2437974,8680
4265186,8669
2436846,8665
5218781,8606
2440684,8591
2433716,8567
2434790,8559
2432622,8530
2437991,8524
2441187,8511
2439331,8509
2436643,8482
