species_key,occurrence_count
2469188,375464
2442225,248677
9702100,244668
2468095,231146
8894817,220197
2443002,211028
6159223,183679
2457522,147924
2451234,146249
6159243,138803
5960862,120484
6161347,115465
2443133,114785
9350124,114575
2451029,112964
4287413,104298
2466939,98534
2441333,98428
2445034,90570
2441905,74938
2443173,65963
2459658,64771
2441370,63891
5223334,62302
5959617,57441
8913064,57209
2453826,56101
2462503,55236
8909809,54886
2458916,54742
2457545,53907
9789983,52797
2468542,48398
5221528,46618
2469763,45938
2447609,44911
6161340,44735
8796529,42975
6161776,42514
9056579,42391
9537238,39630
2458538,39411
8763701,39359
2441454,38220
8161292,36809
2444339,35611
9268496,34367
2449538,33652
2451347,33468
2448146,32816
8538855,31976
2470715,30931
2459603,30754
2451459,30683
5225255,30552
2468262,29126
5789613,28609
5225659,28604
5225256,28576
2444446,26455
2462522,25835
2451154,25537
2444356,25450
9416124,25214
8839848,25100
8841716,24963
2451223,24213
9125207,23625
9185677,23620
5227564,23127
9013527,22902
2442153,22347
5959942,22253
2455676,21938
8356845,21512
8615718,20963
2443341,20584
9215881,20326
2461434,19850
5223349,19590
5224503,19457
2463735,19292
2441812,19228
7444957,19189
5223362,18994
2464512,18477
2451167,18431
2457575,18408
9105722,18325
2457039,18248
8433585,17339
2442680,17041
7453543,16889
2451472,16872
2472425,16753
5221821,16540
2468700,16502
8984671,16470
2446947,16290
2441461,16155
6159273,15990
2470616,15671
2462660,15509
2451393,15308
2445829,15152
9164170,15152
5220393,15005
7576179,14997
2446224,14964
2465633,14961
2451285,14872
8898408,14869
2470685,14702
8945077,14592
5223342,14550
2459293,14245
2451433,14096
2467091,14039
8875670,13846
8953936,13659
8877412,13552
2462374,13422
2457636,13292
2451277,13170
5959645,13164
5222413,12885
6161327,12881
5224691,12518
2468254,12451
2472164,12308
2459646,12242
9030989,12055
9129157,11674
2467218,11633
2449662,11437
2465999,11257
2443074,11222
5226062,11134
5960558,11046
2442665,10882
2458160,10798
2447367,10797
2451192,10639
5223730,10587
4287358,10559
9019391,10555
2444468,10501
2462369,10409
8170369,10349
5225191,10277
2465641,10218
5221813,10206
2441329,10170
4820533,10136
8323736,10098
5222456,10044
5226254,10007
4819663,9950
2443168,9935
2457577,9855
5225067,9836
2459023,9738
2460886,9728
7504253,9707
9127718,9672
8681405,9589
2462240,9548
2443212,9434
2462347,9350
2457092,9333
2459705,9237
5226316,9224
5220530,9207
5816059,9145
2462672,9073
2462520,8988
11041294,8977
5224911,8947
5789593,8862
2462633,8819
2455615,8806
2451403,8791
6159196,8790
9799308,8772
2472838,8765
2447244,8653
2447506,8558
9342283,8547
2451726,8478
5789628,8462
8682680,8450
2457512,8436
2459612,8305
8982716,8300
5222442,8280
8613410,8272
2463730,8196
2441341,8167
5227370,8161
7566793,8151
2444360,8132
2441757,8063
2472403,8055
2456330,7926
9195555,7862
2441974,7840
2444480,7594
2446718,7541
2462156,7533
2463461,7529
2472455,7528
2447563,7503
2469126,7491
8376055,7489
2463115,7448
2463647,7423
9415528,7277
2462338,7271
5220285,7267
5226039,7239
