species_key,occurrence_count
8215487,4493878
8084280,2575913
4284072,1965411
7595433,1450621
2359706,1407066
5212973,1075175
4409653,1061738
8351946,1027186
8140485,1013758
2415822,990689
4409628,964388
2365685,931150
2333785,859097
7807208,734370
5204862,699573
2346633,686856
2415788,606704
2413452,592226
7700106,571479
2409104,510289
5213960,509171
4284021,472566
2362925,468765
2333802,448400
9809222,412488
2415637,401290
2356612,371833
2357093,362878
2409330,338437
5209574,325704
2415643,296560
5739539,287579
4286975,277051
2374149,268345
5204019,256120
2336597,254841
2362635,252485
5210473,237151
2415460,234448
2360305,228168
2415631,220676
2413931,217047
4286327,212765
5204024,205790
2359471,203039
2394486,200078
5213953,198918
2362524,197573
2400598,195971
5204039,191305
5210470,191296
2415906,191191
5204034,189718
4409641,185994
2409091,185485
5214001,182931
5214139,182560
2386906,175879
2409370,175877
2382155,175751
2394503,175255
2374013,173265
2397850,171572
2394612,170392
5212294,167053
2414014,166373
2394563,164588
8189568,163159
5213996,162905
2360842,161146
2399874,159663
2351027,152126
2335366,151281
5214022,147949
9365191,146331
2415861,143492
2387731,143076
2351174,141310
2415777,136460
2336521,133615
5214028,133062
2352186,132602
2383301,129817
2360687,128596
2384402,125768
2408726,125640
2415923,125582
2384533,124652
5739510,123545
5212202,123530
2392516,122061
2393654,120459
2415734,120025
2398736,119461
2415632,118824
2389282,118429
5213725,118076
2389287,116385
2409391,115163
2384234,113996
2414024,112083
2335410,111887
7599552,110993
2393918,110649
2389313,108249
5201222,108205
2335455,107884
2345171,107389
2381219,107240
2335466,106341
2335497,105078
5211259,104462
5961708,104341
2412583,103609
2335544,103571
2335502,102525
2389277,102424
2389310,102372
2387738,102160
2335464,101972
2336510,101472
2382611,100509
2389318,99857
2390622,99644
2389234,99023
2385282,98121
2415769,97879
5204014,97303
2335381,96229
9770885,95651
2335569,95240
2335522,94985
5210487,94448
2381275,93955
2362868,93298
4285694,93106
2398881,92859
2408903,92756
5209188,92395
2404017,91857
2335525,91795
2335577,91375
5202927,91231
2412740,90900
5209305,90869
2335564,90145
2335552,90062
5209181,90061
2335512,90037
2381939,89982
5712278,89837
2389841,89616
2387722,89557
2335406,89528
2336472,89484
2356481,89211
2335557,89189
2389297,89085
2369346,88966
2400040,88959
2390778,88946
2334627,88824
2336745,88761
2389267,88727
5213939,88418
2394265,88258
2409249,87593
2333903,87568
2335450,87418
2389229,87354
5212522,87298
5211228,87006
5211229,87001
2389268,86994
2385594,86985
2413541,86346
2335508,85171
2382004,84881
2415916,83842
2409062,83663
2384268,83641
2409395,83405
2415616,82975
2382537,82426
2415718,81790
5214546,81608
2384162,80842
2369473,80414
2393894,80312
2336464,79547
2413788,79034
2415853,78903
2335438,78363
2413034,78178
2350580,78027
2392542,77862
2351271,77679
2335516,77562
2384986,77181
2392219,77009
2407118,76350
2408554,76199
2400641,75983
2382797,75222
2400214,75035
2373996,74399
5203999,74100
2409109,73744
4286361,73298
2408737,73286
2394458,72313
2394760,72088
2399855,72028
2394526,71802
2335388,71040
2389301,70966
2389299,70899
4286942,70461
2408720,68639
2377500,67699
2390389,67667
2360551,67449
2349567,66016
2335323,65652
5204037,64536
2400654,64505
2409218,64116
5209174,64072
2394320,63933
2412295,63616
2335062,63070
2400362,62950
2394494,62930
2400015,62725
5211250,62642
2400222,62624
2398623,62580
2371467,62576
2382172,62494
2369643,62481
2407855,61661
2410108,61495
5201392,61282
2359014,61156
2379089,61114
5207399,60801
5202981,60638
4284440,60613
5202520,60274
5212349,59712
5212649,59509
2368185,58828
2415676,58091
2408881,58020
2391079,57507
2409383,57461
2369471,57245
5203686,56936
2384125,56677
2412794,56624
2389407,56520
8012077,56296
5208087,56245
2374069,56103
2389240,55953
8173912,55807
2389248,55569
2393304,55428
2398885,55332
2392139,55329
2335504,55226
2388990,55137
5207666,54618
2382521,54460
2389708,54424
2403490,54326
2340977,54160
2397707,53446
2409909,53126
2412960,52575
5214892,52380
5214548,52263
5211769,51872
7938309,51460
5203634,51233
2383618,51084
2390989,51071
2335415,50983
5212956,50672
2365787,49634
2382528,49206
9784990,49203
2340989,48994
2377816,48925
2391064,48212
2388809,47931
2409226,47822
2350570,47580
2383154,47355
5210114,47196
2382543,47015
2391050,46612
2379621,46376
2332964,46347
2337248,46247
7744449,45962
2384922,45837
2381013,45830
2388866,45546
2389995,45351
2393734,45227
5212651,45169
2390762,44953
2382596,44865
2412292,44785
2393172,44452
2394622,44251
2334438,44094
2401167,43650
2384741,43648
2397724,43560
2377831,43515
5212222,43307
2334159,42526
4409643,42092
2336774,41871
5739559,41796
2385548,41691
2407141,41392
5212147,40962
2389990,40645
5213018,40555
8123721,40209
2367742,40121
2335429,40095
2398894,39949
2396813,39837
2381417,39821
2337607,39749
5211452,39725
2394514,39665
2366645,39624
2360481,39620
2379300,39391
2384981,39238
2376636,39051
2337170,39000
2369323,38926
2366634,38862
2333949,38724
5712356,38571
2396435,38543
5211450,38341
2336938,38308
2369651,38302
5209227,38280
2407665,38249
9694948,37955
2393924,37886
2393934,37822
5212440,37559
2396862,37532
2392280,37384
2335560,37286
5204778,37115
2409216,36935
2336480,36805
5208832,36794
2413553,36766
2374249,36708
2363714,36678
5201188,36628
2415526,36582
2386887,36340
2400208,36334
5212188,36286
2393900,36261
5210995,36074
5201554,36018
2409401,36017
2400093,35956
5209687,35899
5258334,35386
2394861,35199
2385448,35007
2353250,34953
5202525,34755
2386469,34686
2384837,34584
2359289,34501
5210446,34320
2384111,34289
2384558,34179
2340969,33670
2398749,33472
2383163,33342
2396447,33304
2335374,33257
2409475,33156
2390392,33143
5209750,33143
4284220,33140
2351211,33059
2398897,33026
2352230,33014
2398903,32987
2389994,32766
2384948,32563
2393681,32537
2388300,32529
2381293,32450
2367736,32350
2355356,32338
2375376,32326
2387407,32322
2414031,32305
2408884,32194
2385023,32163
2388770,32018
2384275,31978
2380998,31949
5214921,31881
2413224,31847
7906686,31764
8006460,31727
2388558,31565
2389034,31439
2398112,31199
2361357,31104
2359297,31003
2374191,30554
2334088,30500
2409418,30377
2390185,30372
2406494,30196
2397711,30194
2388739,30183
2391175,30109
2355105,30107
2413015,29829
5209329,29689
2390836,29290
2396844,29265
2380012,29241
2390711,29221
2388240,29186
2390847,29035
2394491,28882
