species_key,occurrence_count
9783587,1604695
2262087,1590951
5184461,1590376
2260584,1586136
11059991,1582391
11711225,1581502
2259417,1581272
2262473,1581095
2260018,1580880
2263005,1580776
5185297,1580710
5184878,1580704
5184444,1580564
2256852,254570
2256825,254467
4339111,236697
2264084,229311
2258602,223550
2260962,217471
2260965,217355
4283467,187764
2264050,163508
2256789,121313
2256798,120287
2256793,94665
2256759,91185
2256826,64821
4283468,55568
5185175,48871
2256847,45200
2258575,39971
5184785,39344
8279523,38241
2258895,37378
7617481,36335
6472159,35612
2259464,34681
2260050,33972
8381611,33728
2260503,30895
7454555,30144
2259158,26456
2256644,25357
2256780,25239
2260043,25029
5184338,24049
2256559,22901
5184657,22377
7454567,22173
5184779,20721
2260167,20144
8717855,19288
2260502,17672
9705144,17499
2258898,16751
2259752,16595
8377035,16340
2260504,15340
5184681,15285
2259738,15232
5784766,14750
2260491,14166
2259487,13839
11353393,13752
11181921,13742
2260111,13677
2259460,13649
4283431,13615
2260076,13137
2260119,12491
2260298,12340
2260700,12287
2260356,11890
2260297,11382
5184828,11251
5184786,11244
2260358,11151
5184446,11123
2260507,10899
2260360,10734
5711898,10538
4944083,10249
5711863,10062
5841759,9789
5184341,9734
5184411,9721
2260337,9218
2259062,9207
5183974,9113
2260505,9107
5183997,9061
5784825,8780
2258030,8670
2260295,8656
2259606,8558
2259482,8013
5185376,7845
2259549,7267
2263967,7112
2261251,6948
4283771,6917
5184655,6733
2262143,6658
2263962,6565
2257274,6558
2261417,6418
2260075,6399
2257114,6358
4880484,6177
2258703,6164
2258697,6088
5184754,5995
7567180,5963
5184766,5717
2258789,5607
2257373,5482
2258652,5431
2259484,5258
5185014,5161
2260340,4939
2263955,4753
2259576,4490
2259459,4426
5185035,4381
2264081,4292
2262990,4197
2256333,4105
2260540,4052
8061655,3960
2256565,3930
2260570,3874
2257973,3868
4339144,3854
5184787,3813
2260506,3735
2263181,3726
2258963,3686
5184764,3671
2258167,3651
2259490,3584
2262973,3582
7673731,3558
2258081,3557
2259635,3540
5711920,3528
5184675,3483
5185082,3465
2258823,3454
4283395,3374
4339426,3323
2261256,3320
2258965,3272
7568951,3180
2259002,3166
11755858,3157
2262040,3149
2259467,3138
5184710,3057
12192601,3035
5185031,2917
4339115,2860
5184593,2854
5184827,2850
2257255,2834
11130288,2827
10986953,2704
5711876,2679
2263010,2669
9779504,2647
2258194,2630
5184686,2622
2259485,2599
2260542,2595
2260096,2578
5185138,2569
2258568,2567
7506879,2546
5184792,2538
5184672,2533
2256741,2522
4976552,2518
2258906,2513
2264279,2442
2261670,2421
5184556,2400
