species_key,occurrence_count
2285940,249764
8288896,216427
2286995,189800
7791733,104380
5189061,102618
4371646,101595
2286583,96680
5188986,82905
2288891,80336
2285681,73325
2286847,61666
8190231,59324
4372852,57193
7820753,57059
2287557,55750
8485639,53865
2285952,53262
4372735,52240
5189057,51316
2287615,51244
8761891,49962
5189106,48639
2286383,46485
2286416,44045
5189341,43436
5188981,42700
7865139,40528
2286130,38605
2287245,37342
2285838,37184
2287072,35372
2288763,34916
2286585,34722
10999086,32709
2287622,32656
2285597,32418
2287251,32190
2285577,31741
7911174,31497
2287256,29391
9519993,27833
5189062,27796
2286709,27660
2287526,27355
2287248,25932
5189537,25726
2287221,25094
2285334,24774
2287572,24458
2285980,24355
4372625,22489
4559631,22090
2286060,22046
2287446,21274
7664805,21155
2286328,20726
5189199,19604
5189053,19585
2285680,19167
2285656,18629
4374178,18276
4371541,18270
2287951,17591
2285550,17523
5188971,17468
2286255,17129
4949758,16602
5729090,16551
5189532,16543
2287021,15933
8244906,15751
5189484,15280
5188985,14661
4372686,14651
2287705,14598
2288334,14358
4372191,14281
2286717,13946
4373480,13698
7592108,13638
2285541,13441
2285856,13421
2288157,13276
5189054,12875
5189038,12746
2287972,12578
2285583,12206
4371525,12043
4374774,11955
2285683,11707
2286523,11652
2287835,11535
2286079,11524
2286067,11336
6531618,11305
2286388,11040
2288163,10957
2286180,10955
4374772,10783
4559558,10775
9674819,10358
9551088,10327
5189215,10254
5188891,10211
2285558,10178
2286126,10156
2286266,9857
2288191,9333
9395672,9319
5189174,9117
2287837,8836
5189374,8681
2285762,8680
2287652,8666
4374436,8641
5188972,8546
2286680,8496
2286550,8364
2287249,8325
8217607,8231
7637385,8008
10912794,7825
2287962,7801
7857878,7720
5188824,7647
2286537,7609
2287073,7521
8182127,7393
7954902,7254
5189169,7095
2285703,7064
2287689,7056
2288731,7044
8847968,7009
5189085,7003
5188926,6961
2286691,6841
5188851,6729
9578007,6656
2285401,6551
5188927,6429
4374863,6351
2285413,6295
2285587,6185
5188982,6168
2287668,6088
2285800,5926
2288262,5795
6531941,5745
5188853,5722
2287777,5713
5855803,5710
2286505,5696
7475447,5664
4371534,5656
5189194,5591
7688522,5581
7606845,5575
4372638,5428
2287985,5401
2288265,5401
6531311,5305
2288142,5285
5189501,5277
5189281,5254
4373199,5227
4371669,5184
2286128,5133
2288724,5019
8306277,5001
5189088,4998
2285862,4972
2288149,4962
4559634,4962
2286227,4928
5189406,4914
2287904,4906
2286559,4865
2286519,4821
8105832,4743
2288618,4706
2288055,4700
2288539,4650
5189021,4647
5189155,4618
11036466,4609
2288510,4509
2288382,4406
5189142,4397
2285553,4379
2287250,4357
5189101,4354
5189493,4345
5189305,4256
2288788,4251
4374731,4208
