species_key,occurrence_count
2418684,389966
5216368,371534
2417981,226811
2418064,218785
2418036,153011
2420446,149615
5216380,120447
2418259,117502
5215678,112198
5215461,112139
2417940,93435
2418369,90063
8202844,89633
2419300,89542
2417794,88304
2418958,87776
2418636,81641
7913005,80072
5216024,76019
2419886,74806
5215777,74675
2420797,73271
5216036,70886
2419879,61775
2420600,59788
9245001,58507
2420478,57877
9479285,56922
2418986,55363
2417905,47919
5215626,47546
5215675,46556
5216014,45953
2417970,44328
2418234,43049
2420569,41144
2417495,33100
2418054,32559
2419827,32281
2419875,31828
2419231,31185
9335213,30254
2418009,29286
2417541,28286
2418792,27104
2418789,26846
2418005,26259
2419488,26248
2418059,26050
2417343,25984
5216351,24707
2418095,23739
5215567,23634
2417919,23128
2420471,22618
2418800,20430
9548142,20252
2418003,19593
2421127,18305
2420694,17664
5216292,16869
2417744,16326
2418315,15506
2421020,14850
2420726,14654
5216020,13462
2419095,12651
2418173,12226
2418028,11991
2420337,11966
2418347,11723
2421064,11686
2417977,11641
5215444,9933
2421203,9847
2421030,9616
5216248,9523
9241141,9413
2419304,9375
2420234,9320
2418184,9265
2419781,8575
2417430,7932
2420061,7875
2418041,7836
2418312,7791
2418670,7791
2417418,6996
2418313,6779
2418771,6757
5216059,6710
2417718,6585
2417522,6347
2418942,6285
5216061,6238
2418633,6221
2420766,6187
2419790,6005
2419426,5954
2421047,5934
2419310,5757
2417860,5711
5215810,5546
2418621,5396
5215623,5278
5215452,5219
2417405,5202
2421150,5126
5216430,5095
2418350,4959
9619349,4918
2419386,4907
2420344,4848
2420230,4594
2420911,4515
2417445,4301
2420164,4275
5215518,4265
2421160,4034
9413495,3992
9451181,3965
2418532,3952
2419968,3781
7009918,3694
2417866,3611
5216239,3521
2419415,3494
2418924,3319
2419384,3287
5216046,3261
2417864,3035
5215465,3018
2418052,2984
2421119,2921
10897607,2907
2419405,2902
2421007,2784
2420295,2708
5216051,2669
2419246,2646
2421147,2646
2417892,2606
2417964,2606
2419411,2437
2418774,2336
9328654,2323
2417450,2282
5712590,2281
2419543,2218
7466803,2212
2417820,2181
2418794,2142
5216232,2127
2418597,2038
2421071,2028
2419292,2021
9076083,2013
5215564,1963
5215534,1959
5216218,1832
9349208,1830
2420454,1814
5216033,1809
5216341,1741
2418972,1698
7193839,1688
2420586,1683
2419858,1676
2420305,1650
2418039,1632
7532383,1629
2417818,1614
2420193,1604
2417496,1533
9363791,1532
2419604,1492
2420063,1485
2417983,1473
2420564,1470
2418324,1467
5216276,1451
2421189,1433
9301034,1424
2419592,1422
2417699,1420
9400747,1393
2419188,1392
9298603,1383
2421031,1377
2419409,1360
5216246,1350
2417811,1320
2417557,1315
2420280,1314
2418664,1313
9775198,1263
2419975,1260
5816410,1260
9350393,1253
2417739,1244
9301049,1239
2419917,1232
2420330,1224
5216216,1208
2419863,1186
2419398,1183
2417800,1182
2418465,1156
9444851,1131
9315241,1125
5216315,1121
2418002,1119
2417604,1116
2420256,1068
2417781,1051
5215455,1049
2419333,1040
2417796,1032
2417478,1027
2421013,1020
2418405,1018
2418043,1012
9577286,1012
7454749,1004
9267839,1004
5216423,988
8504955,972
5216361,954
2418976,949
5215493,933
2418738,927
2418705,916
2418609,907
2419580,905
2418580,892
2421027,886
5215458,882
5216012,874
2421060,870
2418431,865
2419967,865
2420418,861
5215774,860
2419005,833
2417988,831
2420326,796
5215568,791
5215665,790
5216041,785
5216306,782
2419356,778
2418162,763
2421121,759
2419382,757
2418905,754
2418077,745
2417559,744
5215618,736
2419849,726
2419477,725
9273149,717
5216258,708
2419529,707
2420813,706
2421162,698
2419902,695
2419402,690
9568834,688
2417797,684
2419042,683
2421174,680
2417439,678
2419041,668
2420268,668
2420264,666
2420469,666
5216016,659
5215783,658
2419912,655
5216418,654
2420174,644
5215808,643
2420191,641
2417808,635
2421036,635
2420481,633
2419423,626
5216419,620
2419771,604
2420142,600
2418714,598
2418744,595
5216224,595
2418144,592
2420373,581
2420875,576
2420495,575
11127211,572
5216342,568
2417896,564
2420848,560
2418399,558
8971927,558
2420364,552
2420189,544
2417535,517
2418537,517
2417770,513
2419179,508
2418483,500
2420109,491
2417425,489
2419351,483
2417443,481
9541376,480
5215471,479
5215459,476
5216035,473
2421024,472
2417337,471
9573075,465
4825171,460
2418939,458
9424579,457
2418468,452
2417568,451
5215533,447
5215508,441
9582804,441
2418607,438
2418341,429
2420809,428
2417804,423
2418825,423
2418933,420
2420301,419
2417774,418
2418252,410
2420323,409
