species_key,occurrence_count
8168319,273521
5260693,218110
8197849,201953
11022230,183423
2548311,158125
8068867,149146
9819973,145653
2542395,133253
7987658,126574
2605963,126177
9072021,102666
5255147,98555
7247635,98510
7496350,94970
5241128,94617
2605261,90482
3293632,89656
2520051,86786
2553128,86477
2530983,81253
9739824,80595
2607712,79200
5249271,78360
9134585,77483
7251037,77013
2601143,73713
12030173,73642
2601181,73307
7832732,72467
2606178,72124
10990852,69762
5243258,68638
5954958,67311
9035469,66640
5239982,66347
7765582,65067
2608167,63650
5249504,62361
8622852,62274
10852503,61609
2547092,60975
7246646,60253
2530926,59382
9755839,58789
8179389,57997
2542126,57594
7847785,57445
2538524,56950
3314876,55907
11945016,55627
2545670,54929
2531072,54911
2606780,54208
9208081,53383
8690832,52660
3390030,52584
8914748,52325
2609145,50314
3330851,50277
2608278,50246
2520148,49885
2549834,49729
2605955,49478
2608944,48535
2543824,48505
3328320,48081
8620875,47820
7249709,47242
2522229,47078
2608477,46961
7446067,45728
10116551,45688
2544300,45655
2605342,45443
2526880,45350
2525710,44575
2540761,44269
2607701,44238
5478889,44064
9217873,43613
2607534,42681
2559369,42515
10932974,42338
2531012,42308
2608920,42045
8683249,41697
7086670,41437
2526725,41355
2537081,40984
5240002,40745
9141390,40714
9118025,40577
2527219,39125
2534578,39077
2526530,38934
9117055,38747
8597577,37462
2537250,37449
2519816,37316
2601191,37228
2554614,36804
2607934,35916
2534001,35591
5258334,35386
10950385,35303
2608493,35207
2550247,35153
2554536,35079
2532944,34927
5243756,34769
9223923,34364
12100433,34278
5249253,34088
2551542,33924
2553607,33676
10798844,33631
2605685,33076
3345381,33061
8031042,33028
2550493,32802
8329645,32765
10789004,32756
2606308,32751
2512969,32475
5261442,32208
2533962,32080
2553117,31966
2601180,31679
2607631,31549
2607697,31366
9127230,31358
2531814,31200
3341441,31159
5240325,31106
9105286,31035
10883842,30914
9151597,30885
2526942,30874
2534625,30806
2539197,30763
2605272,30692
2566393,30567
2545089,30474
2520862,30412
2606848,30305
2600939,30298
2606539,30298
9227816,30296
12243943,30122
5248684,29990
5238864,29543
8732724,29523
2558988,29204
2519413,29169
8796319,29126
2554716,29010
2607596,28809
6606867,28794
2537689,28757
2606511,28705
10955518,28628
3545360,28577
5242048,28392
2607695,28069
2601714,28061
5249374,28008
2605209,28003
10787630,27905
3291564,27831
2600423,27819
2536891,27773
7843979,27759
6607856,27750
5243525,27734
2559026,27467
4911815,27456
5251836,27436
2551419,27424
12008655,27223
7777157,27215
7925734,27213
4911751,27118
5251371,27083
2551968,27051
2533692,27039
2512925,26964
3345400,26903
3321205,26771
11076360,26723
5248616,26708
5465199,26680
7246650,26667
2592659,26356
7759981,26203
7248528,26153
7247033,25863
5251355,25781
7693097,25777
2551479,25757
2548374,25753
5239864,25614
2607131,25410
7577590,25408
8118872,25357
7246697,25227
7442237,25212
10956142,25147
2554367,25047
5248532,24953
2606023,24786
12092733,24749
8961574,24742
2608115,24678
2529415,24495
2605403,24269
2605814,24209
2538445,24169
11011338,24166
2607590,24089
7246716,23842
8114182,23826
2521089,23767
2529040,23693
2606463,23664
8879395,23504
7623986,23499
5256859,23477
5249297,23453
5249353,23179
10828425,23157
2520773,23101
5249883,23047
9690034,23011
2598011,23008
7547658,22992
7700437,22952
2531146,22879
2601162,22801
6755116,22736
9156243,22595
2522210,22573
2577646,22568
3392646,22528
2608929,22469
5261338,22360
8367739,22359
8104050,22357
5254672,22338
7978027,22321
8897119,22290
2534205,22279
8190524,22272
10825597,22213
8122710,22193
2542912,22083
11074143,21811
5238865,21750
2538630,21745
7246653,21658
2551415,21607
7741746,21603
5258678,21586
3434172,21561
2597698,21460
11993337,21431
2535471,21355
2605831,21236
2603471,21212
2554662,21190
2591021,21183
5248458,21117
5252216,21015
5248614,20950
2609967,20936
5242740,20886
2533439,20855
2601144,20794
8881331,20777
2522245,20769
8956209,20708
2525027,20697
2533424,20688
2592729,20640
2519770,20631
2614118,20415
10711935,20347
12135386,20178
7250766,20072
2553113,20024
2601176,19863
5243151,19855
8908488,19843
2540800,19785
10753511,19767
2524910,19522
9397402,19419
8130383,19416
9717684,19408
2536058,19382
2551213,19342
2605275,19248
2531124,19229
8238048,19163
5251961,19106
2522291,19077
2531625,19065
10672826,19037
5248679,19014
2533062,18993
2609193,18914
3355021,18904
2577023,18853
7453254,18853
8591446,18822
8483459,18821
9043861,18740
9212934,18690
2620585,18622
2606557,18610
7365370,18606
2518684,18588
3389383,18574
8032257,18545
2538644,18517
5243279,18432
2549570,18413
5241808,18339
11581860,18311
2584352,18263
2607291,18163
8813286,18148
9070104,18101
5242798,18096
2607124,18048
2551182,18020
4911705,18002
10700730,17981
3397587,17973
2604379,17969
5258860,17928
5242777,17923
2551201,17895
5248670,17865
2551447,17857
2601174,17828
8234430,17792
2609260,17753
10770347,17737
2576893,17675
5247228,17660
10955802,17640
2524490,17633
5248629,17629
2601182,17615
2608594,17590
8669905,17541
2559325,17524
2584521,17446
2528998,17375
2600369,17293
5258337,17263
12210015,17193
2538552,17147
8458769,17137
2533674,17113
8411734,17008
8935018,16977
5240306,16926
2609422,16781
2550260,16732
2599776,16731
3425456,16611
5261529,16542
11260649,16541
2551558,16529
5258582,16521
5954805,16518
2608090,16502
8301234,16491
2551331,16383
3324249,16328
2538864,16308
5249216,16286
8041387,16228
7838425,16017
7472266,16007
2552308,15987
12258431,15893
2600221,15850
