species_key,occurrence_count
5135513,3934669
1920496,3364375
8049830,3162080
1898286,2880914
4535827,2836635
1920494,2760648
1920506,2410918
1894840,2402309
1920712,2127807
5140214,2107945
7622059,1779956
1911461,1662102
9783587,1604695
2262087,1590951
5184461,1590376
1896841,1586914
2260584,1586136
11059991,1582391
11711225,1581502
2259417,1581272
2262473,1581095
2260018,1580880
2263005,1580776
5185297,1580710
5184878,1580704
5184444,1580564
1898544,1492740
4299368,1372882
1919712,1326448
1789695,1317683
1929697,1196496
1341976,1098509
7389824,1043187
1925918,981821
1792418,962862
4989904,870516
7854318,828020
1423395,805595
2226639,771085
1771214,765792
5133088,740558
2222356,731490
5714973,697120
1340405,678422
1960617,663391
1770477,660067
5146559,651564
8273661,645706
1796145,641616
1909398,635345
4535632,611187
1421964,609856
4990191,598498
1798974,594028
1428345,578380
1957572,560920
5051273,529159
1428686,516859
1340503,509759
1789730,495879
1798807,480139
5051775,479305
1933095,479305
1423540,475345
1986157,465079
5112283,461907
8133678,459390
1788425,451806
5178343,450768
2222188,449665
1962434,447290
8225376,445951
1759083,443617
1770772,432938
1902533,432380
1427915,432044
5972004,421922
1769897,418801
8361848,416617
1692898,406645
1782560,398445
1798984,396069
5137612,394895
1427067,385228
8237987,383637
1311477,377197
11714155,375141
1428217,369782
8000103,368737
11619882,365753
1789785,363810
1932411,356377
5772210,353833
1992066,346388
5149438,345418
1536449,342353
7792296,340358
1541217,340144
12135372,338843
5124007,336258
2222443,333460
4533446,333229
1978776,332887
5772196,331686
4534290,326425
1864652,325826
1425240,325063
1761438,324800
1799135,322834
6221746,322515
1423859,321844
1986220,321198
1427883,320725
1340301,319575
1425177,306671
1768702,302018
2293078,293549
1311527,292777
4524376,292508
1340350,288239
5115777,288005
1988593,284097
1770307,283685
1975897,283177
2221647,281236
1785888,280255
1925221,274253
8270406,273758
5143697,271752
4532122,270089
5772351,269862
5143380,269598
4485776,268970
1864377,268139
1784853,267180
1427037,266836
1769566,266613
1796678,266050
1652274,262137
5146677,260749
1962204,259636
5146961,258913
2293185,257863
2256852,254570
2256825,254467
1652991,254367
1767625,253401
2304727,252974
2293082,251356
2293441,251139
1749449,250914
2285940,249764
2293073,247946
5119245,247895
2293069,247779
1924494,247476
5856681,246688
5191261,246565
5743122,246246
1804071,245529
1905383,245333
2226672,245223
1765011,245174
1990551,241879
2226751,239376
6514733,238888
8176911,238847
4535809,237689
4339111,236697
2226675,234921
1912325,233244
5143675,231551
8421569,230354
5138561,229990
2264084,229311
5178279,227875
4525078,224771
2222353,224252
1708459,223962
2258602,223550
1966017,223436
5130682,220545
1979473,219922
2160133,219569
1695297,218170
2260962,217471
2260965,217355
4533433,217334
1425264,217056
1340305,217046
8288896,216427
2225646,215069
1782672,213800
5858758,211530
2293079,210566
2293077,210297
1771040,209548
2294287,208624
