species_key,occurrence_count
2226639,771085
2222356,731490
5178343,450768
2222188,449665
5972004,421922
11714155,375141
11619882,365753
2222443,333460
2221647,281236
2226672,245223
2226751,239376
2226675,234921
5178279,227875
2222353,224252
2225646,215069
8207272,194102
5178595,182237
2223834,166734
2203611,134015
6284337,130568
2225648,130429
2224363,120654
2222085,110415
2226990,109193
2226962,106781
2225596,101695
2228010,97888
2224231,90739
5176315,89893
2206247,89331
2223840,85559
2223875,78556
2217982,77878
9736038,77532
2227300,77294
2226657,70088
2223847,69583
2209507,64583
4312658,63999
2225776,62936
2222375,60554
2225642,59328
2224374,58419
5178356,57774
8909595,57440
2224452,56650
5716791,55512
5716132,54100
2223877,49100
4307437,49068
5863764,42909
5178289,42634
2223527,42567
4307257,41631
2217320,40483
2225772,40158
2222075,38601
5178756,35268
2226978,34903
2227665,34406
4382841,34124
2222361,32281
2216117,31958
5175681,30855
2226435,30369
2224243,29960
2222359,29467
2227993,29063
2214489,27482
2222084,26490
2219853,25860
2217253,24163
5729741,24098
2219863,24013
2219446,23780
2219387,22383
5177524,22207
2226734,22184
2216088,21776
2225812,21735
6284504,21710
9577510,20126
2209087,20010
2203739,19947
2207872,19536
2216112,19442
2226649,19387
2224197,18664
2218827,18426
2226648,17810
2218911,16779
2222709,16681
5178690,16584
5176195,16510
2222367,16497
5177086,16344
5177641,16052
5972003,15599
2216086,15459
2221529,15399
2222355,15379
2219844,14970
2215501,14849
2221646,14592
2226187,14435
2226288,14311
2221638,14123
2220197,14119
2219061,14108
5176242,14001
8109343,13968
8971201,13734
5177548,13622
5863345,13600
2216110,13223
2223316,13017
2223881,12926
2224343,12757
2218221,12691
2226642,12656
2221640,12491
2226998,12426
2227699,12247
4311494,12082
2217262,11927
2224987,11781
2220099,11744
2222079,11518
2217353,11320
2223354,11273
2216713,11182
2219482,11083
2225774,10911
2220407,10880
2215495,10783
2220955,10747
2214492,10732
2216108,10716
2219865,10701
2219861,10656
2221383,10425
2225815,10409
2212446,10376
8180254,10049
2218482,10048
2225819,9986
5178673,9971
4307272,9840
2225280,9788
2225773,9688
2206086,9638
2219644,9571
5175631,9437
2224979,9371
5974591,9296
4314683,9143
2222603,9090
5970596,9063
2228005,8903
2219419,8839
2221606,8817
5178351,8781
2226736,8773
2216452,8697
5178697,8594
2224578,8548
2214298,8523
2215600,8499
2219390,8427
2214508,8356
2219467,8177
2222806,8121
5177188,8085
2218042,8001
2226419,7806
2219855,7736
5178358,7725
4417558,7643
5178585,7452
5178284,7406
8979506,7374
5863770,7299
2221648,7297
2215696,7284
2224230,7281
5178542,7218
2221144,7207
2227605,7086
2223417,7051
5178380,7001
5178716,7000
2217337,6956
2225698,6918
2214522,6870
5177998,6815
5178347,6756
2227571,6728
5178956,6727
2217533,6717
2219860,6653
2221382,6634
2217518,6617
2222599,6596
9427945,6570
2221143,6540
2226070,6512
4646380,6450
4312123,6388
2217251,6374
2219044,6364
5177843,6304
5716131,6274
6463271,6266
5970317,6258
2224219,6216
2219867,6194
2222980,6179
2217347,6176
2205951,6161
