species_key,occurrence_count
2293078,293549
2293185,257863
2304727,252974
2293082,251356
2293441,251139
2285940,249764
2293073,247946
2293069,247779
5856681,246688
5191261,246565
6514733,238888
8288896,216427
5858758,211530
2293079,210566
2293077,210297
2294287,208624
2294280,203202
2286995,189800
5192470,175327
2293070,141536
4361879,121272
5191259,115484
7791733,104380
5189061,102618
4371646,101595
5193418,98027
2286583,96680
2295438,86927
5778937,85101
5188986,82905
2288891,80336
2292826,77842
5192789,74012
2285681,73325
2294279,73080
9991201,70294
4362875,68490
5193451,66514
2286847,61666
2294144,60133
8190231,59324
2295977,58946
2291253,58579
4372852,57193
7820753,57059
2287557,55750
5192503,55373
8485639,53865
2301117,53775
2285952,53262
4372735,52240
2299854,51544
5189057,51316
2287615,51244
8761891,49962
2305073,48827
4565039,48801
7363930,48649
5189106,48639
5781277,48115
2286383,46485
9371518,46373
6519876,45438
2297206,44846
2292241,44649
4304721,44525
2286416,44045
5189341,43436
5193449,42954
2291444,42802
5188981,42700
2292473,42164
4568278,41675
7865139,40528
5859645,40395
2291515,39311
2291810,39232
2294103,39193
2294290,39078
2291886,38936
2286130,38605
4571002,38352
2292449,38249
2291765,38040
2292277,37936
2287245,37342
2285838,37184
2292109,37076
2291881,36909
2293326,36736
5190102,36696
2292401,36683
2292105,36551
6519389,36469
2292406,36382
5189806,36327
2302634,36222
9464984,36198
5189830,35968
6519432,35929
2291768,35674
2292475,35618
2292400,35573
6519372,35526
2292453,35525
2302618,35524
6519108,35520
6519920,35514
2287072,35372
2294090,35333
4568872,35149
2288763,34916
2286585,34722
2294101,33015
2294277,32754
10999086,32709
2287622,32656
2285597,32418
2287251,32190
2290946,31771
2285577,31741
5727892,31530
7911174,31497
4562141,31105
7540164,30107
2298076,29837
2287256,29391
8298325,29119
5725465,28999
4562206,28492
5190391,28367
2291593,28331
9519993,27833
5189062,27796
2286709,27660
9514986,27458
2287526,27355
2293333,27066
2294102,26495
2287248,25932
7568032,25920
8790531,25837
5189537,25726
4567609,25716
2296011,25587
2287221,25094
2285334,24774
2287572,24458
2285980,24355
2291063,24281
2293576,23029
8028368,22537
4372625,22489
8014163,22280
10898749,22250
4559631,22090
2286060,22046
5190768,21958
4563484,21828
5781247,21649
2287446,21274
7664805,21155
2295422,20931
2286328,20726
5190769,20611
5777888,20436
2291336,20342
4562554,20134
5858882,20128
4567205,19711
5189199,19604
5189053,19585
8745918,19543
5779438,19465
2291066,19370
4562571,19301
9805907,19189
7949831,19168
2285680,19167
5190459,19042
2285656,18629
4374178,18276
4371541,18270
2294129,18171
4564494,17983
5781046,17955
4562692,17795
2294099,17698
2287951,17591
2293983,17571
2285550,17523
5188971,17468
4566417,17318
2286255,17129
2300326,17088
4568664,17058
9762031,17036
4949758,16602
5729090,16551
5189532,16543
5781358,16538
9758298,16465
4562139,16392
5781039,16167
5192499,16085
6098953,16009
2287021,15933
8244906,15751
5189888,15648
4567429,15627
8360614,15616
5778419,15376
5189484,15280
5190466,15102
4564338,15037
2295442,14964
2301066,14814
2294284,14771
2294096,14747
5188985,14661
4562232,14655
4372686,14651
4615980,14643
2287705,14598
2296010,14460
2288334,14358
4372191,14281
5190767,14142
5189709,14130
9471950,14102
5191102,14069
2286717,13946
4358714,13850
2294097,13812
5858717,13733
4373480,13698
7592108,13638
2296007,13592
9890104,13524
2285541,13441
2285856,13421
4570937,13301
4359157,13298
2288157,13276
8542531,13228
2294275,13112
4562917,12895
5189054,12875
5189038,12746
4567198,12693
4562566,12623
2287972,12578
2295355,12539
5780449,12350
2285583,12206
4569645,12063
4371525,12043
4374774,11955
2285683,11707
2286523,11652
2287835,11535
2286079,11524
2286067,11336
6531618,11305
5778354,11300
4304764,11166
2291704,11043
2286388,11040
2288163,10957
2286180,10955
4374772,10783
4559558,10775
8336879,10721
8116657,10628
4361146,10417
8632060,10378
9674819,10358
9790747,10353
9551088,10327
5189215,10254
5188891,10211
5856875,10189
4571043,10184
2285558,10178
2286126,10156
7992320,10134
2297154,10085
5193700,10038
4361870,9989
4567674,9935
2286266,9857
10075852,9839
4561827,9615
7932770,9530
4567215,9433
5192339,9413
4567237,9350
2288191,9333
9395672,9319
4566007,9246
5725388,9162
9720489,9161
5728509,9159
8023928,9125
5189174,9117
5191263,8975
2291712,8846
2287837,8836
5190433,8786
2297856,8748
5189374,8681
2285762,8680
2287652,8666
4374436,8641
5191176,8640
2301175,8564
5188972,8546
4369953,8496
2286680,8496
10047389,8443
7505521,8418
9738098,8386
2292844,8380
9711668,8368
4567017,8368
2286550,8364
2287249,8325
9268470,8314
10903982,8246
8217607,8231
4567182,8202
8074459,8201
4567254,8191
2295976,8105
4565020,8047
7637385,8008
9680062,7996
4364689,7977
2291707,7933
10800497,7896
2304401,7853
10912794,7825
2296807,7818
4567599,7810
2287962,7801
5190438,7786
7857878,7720
5781288,7663
5188824,7647
2286537,7609
2287073,7521
2295425,7473
2291808,7460
4563489,7451
8182127,7393
6521230,7305
2297229,7263
7954902,7254
5191383,7174
4361922,7155
2294002,7119
5189169,7095
2285703,7064
2287689,7056
2288731,7044
8847968,7009
5189085,7003
4562199,6963
5188926,6961
8140712,6857
7753992,6845
2286691,6841
8269070,6801
5859934,6761
5191459,6752
5188851,6729
9578007,6656
5724726,6649
9596708,6584
4360191,6554
2285401,6551
2299461,6462
2304357,6457
5188927,6429
4598225,6415
2305832,6388
5725685,6364
5191252,6354
4374863,6351
5725684,6328
2285413,6295
4565957,6267
2292582,6253
2285587,6185
5188982,6168
5189789,6115
9746959,6091
2287668,6088
5781968,6037
5859828,6006
2285800,5926
8789503,5883
2291758,5832
4562761,5827
2292559,5810
2288262,5795
2292282,5758
4568253,5753
6531941,5745
5192813,5739
5188853,5722
2287777,5713
5855803,5710
7615221,5703
2286505,5696
2291096,5685
5778074,5675
5778483,5667
7475447,5664
4371534,5656
5859647,5640
5189194,5591
7688522,5581
2301629,5578
7606845,5575
6520605,5573
4362965,5529
5192808,5518
2291607,5481
4362739,5453
4372638,5428
4366460,5415
2288265,5401
2287985,5401
11049437,5401
4564687,5367
4362883,5326
6531311,5305
7532642,5301
2288142,5285
5189501,5277
4370008,5268
2290996,5267
5189281,5254
2293076,5234
4373199,5227
11044546,5216
2300669,5201
4371669,5184
2286128,5133
9842003,5123
5189748,5113
2302753,5091
4571085,5051
5857680,5050
5190299,5026
2288724,5019
8306277,5001
5189088,4998
4567717,4988
5190124,4981
2285862,4972
4559634,4962
2288149,4962
2286227,4928
5189406,4914
5190033,4906
2287904,4906
2294109,4887
2286559,4865
2296002,4864
2302982,4835
5192687,4831
2286519,4821
2297460,4781
2294153,4774
8105832,4743
7823183,4721
2288618,4706
5781058,4702
2288055,4700
5190390,4660
2288539,4650
5189021,4647
5192505,4626
5189155,4618
5856652,4615
11036466,4609
7654151,4590
10960437,4543
2288510,4509
2291967,4495
4566863,4489
5728138,4450
2297108,4445
2288382,4406
5190878,4397
5189142,4397
2285553,4379
2287250,4357
5189101,4354
2304683,4353
4359818,4350
5189493,4345
6622667,4331
2291554,4303
5192501,4282
5724792,4276
4570873,4261
5189305,4256
2288788,4251
4374731,4208
2302937,4202
8150129,4184
6788988,4172
5724966,4148
2286169,4136
2299798,4088
5192342,4067
4361981,4064
5188823,4049
4372000,4037
2293404,4035
5192088,4033
2288354,4033
4372687,4016
4570889,4009
4304769,4005
4562529,4002
4372673,3998
2287955,3972
4371116,3957
2297910,3947
2291938,3939
2293319,3929
2288276,3915
9003393,3896
2288935,3866
2295819,3865
2286263,3863
5192492,3854
5193080,3850
2287544,3842
4374771,3826
2299464,3811
5724968,3805
7871052,3782
2295730,3775
6510970,3768
7351647,3765
5729032,3765
9790296,3763
4611615,3762
4615614,3754
5859668,3722
2292268,3722
2288065,3703
9304589,3686
2293426,3684
9765176,3665
5192793,3649
5188945,3648
2285933,3634
4360773,3630
5725122,3618
8257822,3615
5192461,3604
5855840,3597
2297504,3588
2287889,3567
4372624,3564
5795773,3557
7695428,3531
2286504,3520
6524547,3504
5728452,3482
10965061,3482
2292199,3465
2286102,3461
2300817,3447
5782993,3446
4565956,3445
2295378,3427
10778988,3426
2293457,3424
2292229,3406
5778352,3393
2287055,3389
2293579,3388
7920341,3367
2287667,3361
5189291,3356
5189722,3348
7403632,3344
2285983,3343
7428494,3342
2293448,3326
8424246,3321
5726275,3319
5189113,3318
7613563,3301
8659199,3292
6514676,3287
2292107,3285
5189105,3276
5190486,3272
5725856,3249
2292071,3211
4567251,3186
2287949,3183
7621602,3180
2293764,3170
4571076,3169
2293864,3168
2298915,3166
6548540,3163
6519570,3163
2295989,3154
9749798,3147
5189093,3146
4567213,3131
5189344,3129
4963768,3129
5189487,3098
5190017,3080
2287789,3080
9071706,3071
2301716,3071
5724953,3070
5190123,3064
4564216,3050
4600936,3040
4567899,3031
5192673,3025
2285332,3010
5858080,3005
11844865,3003
2304415,2988
4949310,2982
4361017,2978
4373124,2975
2303000,2973
2285543,2956
4373818,2954
4608087,2941
6519378,2939
4366020,2936
2299286,2930
7983644,2916
10767015,2911
6874879,2902
9353034,2901
5778120,2901
2288376,2896
4374813,2888
4568269,2884
2286197,2876
4368880,2874
5189459,2872
4359788,2868
4566708,2861
5188932,2859
2302070,2859
2293564,2857
5728294,2850
5191406,2841
2294089,2839
6530486,2838
5189285,2838
2301181,2838
7679801,2826
2288343,2820
4374006,2819
2288147,2817
4559545,2797
2292846,2794
9710292,2774
8091483,2773
2297854,2766
4956282,2763
6492690,2761
2297849,2749
2292836,2742
6503984,2741
4371566,2741
2292407,2740
9716348,2730
5190396,2727
2292167,2721
4371655,2719
4959757,2718
2291662,2718
4364489,2717
2291741,2711
4605758,2708
5858946,2705
4568049,2698
9185871,2696
5193617,2694
4564725,2694
2288481,2693
2286953,2692
2293038,2689
8785060,2685
4358252,2684
4956274,2681
4364508,2678
2292450,2676
4357841,2675
8045384,2668
4361980,2666
4956277,2664
5860025,2663
4562066,2661
4564459,2658
6519348,2655
6519182,2654
4615612,2653
2288338,2652
9520065,2645
5188960,2645
5189844,2635
4374463,2633
5728454,2629
4955844,2627
4564228,2619
6518563,2617
2302958,2611
4363568,2609
2287239,2607
2296805,2601
6505171,2597
4963865,2593
2295986,2590
5193421,2587
5192871,2583
5190449,2583
4608090,2583
8283926,2576
6518896,2574
5715627,2572
5193319,2559
8067084,2549
4568535,2541
2287984,2541
6518992,2538
7590840,2536
4372397,2535
9609616,2528
5794852,2524
2292070,2517
5858081,2515
4566169,2503
5189992,2494
4567721,2490
2293883,2489
9578385,2487
7876210,2485
8652815,2482
2287366,2479
5728235,2473
7349411,2468
2297858,2461
2285866,2454
4563901,2452
2303689,2450
5190029,2443
2301133,2443
4361880,2442
2291157,2438
2305739,2436
4559541,2428
2292198,2426
8398015,2420
2286989,2420
2297133,2418
4598226,2412
5794856,2393
5421596,2393
4562143,2393
2305751,2393
2299074,2389
5856069,2378
4360951,2377
4568784,2372
2300913,2370
6098958,2362
11558060,2359
5188957,2358
2287363,2356
4570959,2355
5189761,2350
2295745,2350
2301143,2346
4952779,2345
4374190,2344
4564893,2343
2285592,2342
7475883,2333
5192276,2333
5193509,2329
2295309,2328
2285569,2328
2299230,2320
6489952,2316
4608089,2316
2286384,2315
6528674,2313
5189974,2308
4372532,2308
7417190,2299
4564573,2299
2292112,2298
2293918,2297
6490064,2294
5192865,2292
4373491,2291
2297029,2289
8374739,2288
5190494,2286
5795736,2279
5189008,2279
5728231,2275
5724924,2275
4593934,2273
10211679,2266
5189978,2262
2287894,2262
4567438,2261
2297289,2261
5857892,2260
2294949,2259
6488527,2258
5859796,2253
5857216,2249
5189497,2247
4374903,2245
2297306,2241
2293197,2241
10920519,2239
5793994,2230
2288792,2228
8177509,2224
4373348,2224
2291884,2224
4566605,2222
2304366,2221
10731462,2219
4360985,2218
4617413,2214
10980585,2211
4358589,2209
2291334,2208
2300712,2207
4562145,2202
4369989,2201
2299115,2200
5729178,2199
4371857,2199
2288275,2197
4566750,2193
5189229,2192
12220900,2192
8959464,2190
5728508,2183
5192674,2180
5189257,2176
9034548,2175
5189020,2170
2302963,2159
6488062,2154
2295768,2154
2286247,2146
2288127,2144
8022397,2135
2288264,2133
5728481,2132
4369977,2132
9940792,2130
2299100,2123
4361115,2119
2293567,2118
4374432,2117
5857884,2116
11155573,2116
4564944,2112
2292465,2107
2292110,2101
4616967,2096
2300881,2096
5188947,2095
2299721,2090
4617124,2087
4615987,2083
2288749,2081
4369961,2077
5778127,2076
2292008,2075
5188884,2074
4568490,2071
5189163,2069
9360337,2067
8370203,2064
4616088,2062
5729679,2054
9567542,2052
5779455,2051
5189337,2049
2287399,2047
2291770,2034
2287832,2034
2300285,2033
2286258,2028
5191262,2023
7865518,2021
6497271,2021
8514118,2019
5192786,2019
2287177,2019
4605090,2018
5192685,2017
7625710,2016
5189208,2016
5192081,2013
2294065,2003
2301064,1999
7834176,1997
2286573,1994
2294095,1989
5797998,1984
4595520,1981
5855329,1980
2292467,1978
5193688,1975
9051558,1971
4359297,1970
5192928,1965
2288379,1963
2304740,1961
8326047,1955
2300808,1955
2291657,1955
4373861,1942
9709782,1941
5190041,1941
2297853,1941
2298077,1938
4373699,1936
7765022,1933
4562701,1931
5193243,1930
2285816,1927
7969748,1924
2286422,1918
8148274,1908
2292075,1905
5193693,1895
9583487,1890
5856868,1883
5189713,1882
5189312,1874
2288173,1869
4566526,1868
2299639,1868
5189995,1859
