species_key,occurrence_count
7960979,1830477
8208358,1557762
3120060,1517673
2705308,1504373
5358748,1472135
2881550,1458019
3172358,1362491
8324121,1334995
2878688,1331510
3033339,1328816
2882316,1309226
3113414,1306721
2706164,1288158
2875979,1188009
2882482,1157930
2987999,1147553
2704922,1141521
5290149,1141429
2888951,1127325
9220780,1109206
3033363,1106155
2926557,1085320
2701311,1059834
3012167,1058904
5357013,1054841
3189767,1045158
2706490,1039670
2705975,1031548
8351737,1021279
5285637,1016980
3189870,988343
5341297,964557
3112801,938065
5284884,910201
2913548,909146
2704505,905939
2876213,905253
5365576,904725
4149465,891408
8300875,882399
3034830,881123
2882833,880465
8059811,879392
5371742,879068
2890668,871166
2888728,870069
2706435,865972
3023221,865959
7874883,865538
5275012,852657
2706241,831212
5331916,830602
5289877,828145
5369652,823210
3113239,818482
3117424,814758
5376075,804521
3189486,792722
7924597,792483
5371818,789219
3093702,774435
3034742,771571
2684709,753719
8848598,734604
3120946,724737
3188736,724060
2704179,719330
3189846,715672
3149879,705614
2888995,703678
2975287,703394
9063248,703096
5275132,700493
2879411,699549
5371685,699057
2704178,698978
9094061,698478
3040249,695945
3082234,695645
5356701,685694
5367246,680391
3033263,677258
7972010,677236
3029817,676339
3169386,674984
2889011,672594
2993094,672578
6428353,672092
5289756,653321
5290299,646048
3034620,636140
5384604,628473
2927324,628099
3189172,620668
3118274,617801
2965201,617751
5402943,617254
5298231,616884
5384795,608877
9118014,606176
8195144,603661
3134857,603551
5372952,602260
2891770,602193
8211958,601752
2875818,601744
5375388,601304
2932737,595964
2913130,580173
8179794,579807
2928390,579790
3039454,578659
5367273,576028
5388602,574568
6437976,572715
2927078,572207
8377689,571150
2727938,570988
5334277,569853
5414222,569152
5384616,566384
2724925,566143
3108983,559575
5341478,559007
3189863,551884
7821030,547002
2927282,546578
5275044,543906
2928441,543598
5285565,540276
2975014,536303
6446462,534385
5334186,533983
3128547,533935
11071158,528916
5384738,522942
3105782,519252
3172300,518220
5364245,518103
2882835,515529
2888605,515012
2927208,513976
2700828,510357
2974786,506526
9014945,505092
3172049,504005
5290146,501622
3020791,501526
2888811,499346
5410907,494386
3172077,493075
2703777,491941
3169131,486795
2889173,486266
8228544,485839
2926682,484454
3083838,478906
2888808,472584
3085458,471466
3033558,470618
5372605,469643
5415020,468335
5290081,458209
6364031,456687
3146791,452829
5354656,452669
5384805,450839
2687937,446953
2730127,446863
3109086,446601
2702789,445581
9172281,444951
5356854,443823
2701261,441874
7459480,441392
2702717,439850
3133512,439834
2687932,437847
5334259,437610
2704300,433060
3021037,429447
5394163,428158
3070106,427415
8925249,426641
3063016,421358
2704395,415722
3170886,414678
9039392,414628
10902460,413723
3172048,411881
2726725,411140
3001956,405465
2700934,404732
5275149,402423
5289423,402223
5341300,397592
2925892,397051
2816250,395651
5415040,394598
3103791,394194
2926901,393361
2926683,393240
2724661,392249
3033312,391351
2724609,391173
5352251,390889
2995209,387826
2705495,387362
5285604,386106
3020532,385689
2926612,384743
7296321,383625
5359429,381463
2703647,380956
7558421,380564
6391648,380468
7647071,380207
7622278,378296
5414995,377581
2722602,376966
5275103,376557
3033329,376011
2888443,375076
2891147,374668
5341170,374610
3002461,372774
2914642,372132
3104179,371278
8184903,371001
7693914,370270
9485490,369609
5341184,365472
2769317,363965
3139040,363279
5369701,360757
3117449,360692
5333294,359757
5333412,358825
5371699,358525
2984535,357657
2706231,355875
2700736,353643
2888615,350622
2890040,350153
2720080,348873
9458333,348804
5352367,348341
5403304,348077
8998684,347619
2867589,346065
3120333,343298
8073364,341977
5330580,337266
3140490,336361
2706163,335657
